,Type,Min_Correlation,Max_correlation,Avg_correlation
0,0,0.39072597448895596,0.6630552586227847,0.4879036250295719
1,1,0.26273829051842973,0.5827327507824303,0.43393357591425397
2,2,0.44387000122060366,0.5542633292145616,0.5036730180104293
3,3,0.35965639710877995,0.6194592505403415,0.4805158311717254
4,4,0.6205485207432286,0.8282329383675997,0.6959869289014077
5,All,-0.9999999999999998,0.8282329383675997,0.10253414205056624
