,Type,Min_Correlation,Max_correlation,Avg_correlation
0,Enjoyment,0.21814868042129829,0.5239887537449333,0.3217445459320366
1,Challenge,,,
2,Recognition,0.04165343374653269,0.5542633292145616,0.23634247626344934
3,Community,0.2613865809527826,0.5542633292145616,0.3591732824287329
4,Hostility,0.39072597448895596,0.6630552586227847,0.4879036250295719
5,Importance,,,
6,Payment,,,
7,Ownership,0.42448661150187184,0.8282329383675997,0.5779609652490675
8,Learning,,,
9,Self-use,,,
10,Ideology,,,
11,Motivation,,,
12,All,-0.9999999999999998,0.8282329383675997,0.10253414205056624
