true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,fold,seed
22.0,8.0,12.0,10.0,52.0,0.58,0.62,0.65,0.65,0.05,0.69,0.6,0.5,0.54,0.08,-0.06,0.96,0.93,0.01,,0.1,17404
21.0,20.0,4.0,7.0,52.0,0.79,0.54,0.48,0.84,0.56,0.75,0.17,0.66,0.5,0.58,0.46,1.0,1.0,0.26,,0.1,17405
13.0,16.0,17.0,6.0,52.0,0.56,0.37,0.58,0.43,0.19,0.68,0.52,0.36,0.48,0.16,-0.12,0.95,0.98,0.02,,0.1,17406
20.0,20.0,5.0,7.0,52.0,0.77,0.52,0.48,0.8,0.54,0.74,0.2,0.62,0.5,0.54,0.48,1.0,1.0,0.22,,0.1,17407
19.0,19.0,6.0,8.0,52.0,0.73,0.52,0.48,0.76,0.46,0.7,0.24,0.58,0.5,0.46,0.41,1.0,1.0,0.16,,0.1,17408
25.0,14.0,5.0,8.0,52.0,0.75,0.63,0.58,0.83,0.31,0.76,0.26,0.66,0.52,0.44,0.18,0.95,0.98,0.17,,0.1,17409
14.0,17.0,8.0,13.0,52.0,0.6,0.52,0.42,0.64,0.23,0.52,0.32,0.4,0.5,0.2,0.15,1.0,0.98,0.03,,0.1,17410
20.0,20.0,5.0,7.0,52.0,0.77,0.52,0.48,0.8,0.54,0.74,0.2,0.62,0.5,0.54,0.48,1.0,1.0,0.22,,0.1,17411
21.0,18.0,7.0,6.0,52.0,0.75,0.52,0.54,0.75,0.44,0.78,0.28,0.62,0.5,0.5,0.44,1.0,1.0,0.19,,0.1,17412
13.0,22.0,4.0,13.0,52.0,0.67,0.5,0.33,0.76,0.53,0.5,0.15,0.43,0.5,0.35,0.35,1.0,0.91,0.1,,0.1,17413
36.0,36.0,11.0,21.0,104.0,0.69,0.55,0.45,0.77,0.4,0.63,0.23,0.53,0.5,0.4,0.26,0.99,0.99,0.12,,0.2,17404
28.0,38.0,8.0,30.0,104.0,0.63,0.56,0.35,0.78,0.39,0.48,0.17,0.42,0.48,0.32,0.14,0.99,0.93,0.08,,0.2,17405
37.0,33.0,27.0,7.0,104.0,0.67,0.42,0.62,0.58,0.37,0.84,0.45,0.52,0.48,0.4,0.17,0.98,0.96,0.12,,0.2,17406
41.0,26.0,27.0,10.0,104.0,0.64,0.49,0.65,0.6,0.23,0.8,0.51,0.53,0.5,0.3,0.26,1.0,0.93,0.07,,0.2,17407
41.0,35.0,13.0,15.0,104.0,0.73,0.54,0.52,0.76,0.41,0.73,0.27,0.59,0.5,0.46,0.36,1.0,1.0,0.16,,0.2,17408
45.0,35.0,10.0,14.0,104.0,0.77,0.57,0.53,0.82,0.44,0.76,0.22,0.65,0.5,0.53,0.36,0.99,1.0,0.22,,0.2,17409
40.0,35.0,12.0,17.0,104.0,0.72,0.55,0.5,0.77,0.4,0.7,0.26,0.58,0.5,0.44,0.32,0.99,1.0,0.15,,0.2,17410
31.0,35.0,14.0,24.0,104.0,0.63,0.53,0.43,0.69,0.3,0.56,0.29,0.45,0.5,0.28,0.2,1.0,0.99,0.06,,0.2,17411
32.0,35.0,18.0,19.0,104.0,0.64,0.49,0.48,0.64,0.31,0.63,0.34,0.46,0.5,0.29,0.26,1.0,1.0,0.06,,0.2,17412
35.0,41.0,10.0,18.0,104.0,0.73,0.51,0.43,0.78,0.53,0.66,0.2,0.56,0.5,0.47,0.43,1.0,0.99,0.17,,0.2,17413
63.0,50.0,23.0,20.0,156.0,0.72,0.53,0.55,0.73,0.38,0.76,0.32,0.59,0.5,0.44,0.36,1.0,0.99,0.15,,0.3,17404
59.0,44.0,29.0,24.0,156.0,0.66,0.53,0.56,0.67,0.26,0.71,0.4,0.53,0.5,0.31,0.24,1.0,0.99,0.07,,0.3,17405
61.0,56.0,32.0,7.0,156.0,0.75,0.44,0.6,0.66,0.5,0.9,0.36,0.61,0.49,0.54,0.33,0.99,0.97,0.23,,0.3,17406
68.0,35.0,39.0,14.0,156.0,0.66,0.53,0.69,0.64,0.21,0.83,0.53,0.56,0.51,0.3,0.26,1.0,0.9,0.08,,0.3,17407
60.0,54.0,20.0,22.0,156.0,0.73,0.53,0.51,0.75,0.43,0.73,0.27,0.59,0.5,0.46,0.39,1.0,1.0,0.16,,0.3,17408
62.0,50.0,15.0,29.0,156.0,0.72,0.58,0.49,0.81,0.38,0.68,0.23,0.58,0.5,0.44,0.23,0.98,1.0,0.15,,0.3,17409
54.0,53.0,19.0,30.0,156.0,0.69,0.54,0.47,0.74,0.37,0.64,0.26,0.52,0.5,0.38,0.27,1.0,1.0,0.11,,0.3,17410
52.0,56.0,18.0,30.0,156.0,0.69,0.53,0.45,0.74,0.41,0.63,0.24,0.52,0.5,0.39,0.32,1.0,0.99,0.11,,0.3,17411
48.0,55.0,22.0,31.0,156.0,0.66,0.51,0.45,0.69,0.35,0.61,0.29,0.48,0.5,0.32,0.3,1.0,0.99,0.08,,0.3,17412
61.0,45.0,26.0,24.0,156.0,0.68,0.54,0.56,0.7,0.29,0.72,0.37,0.55,0.51,0.35,0.25,0.99,0.99,0.09,,0.3,17413
80.0,75.0,26.0,27.0,208.0,0.75,0.51,0.51,0.75,0.47,0.75,0.26,0.6,0.5,0.49,0.45,1.0,1.0,0.18,,0.4,17404
67.0,72.0,24.0,45.0,208.0,0.67,0.54,0.44,0.74,0.37,0.6,0.25,0.49,0.5,0.35,0.24,1.0,0.99,0.09,,0.4,17405
83.0,73.0,41.0,11.0,208.0,0.75,0.45,0.6,0.67,0.48,0.88,0.36,0.61,0.49,0.53,0.37,0.99,0.97,0.22,,0.4,17406
69.0,79.0,22.0,38.0,208.0,0.71,0.51,0.44,0.76,0.47,0.64,0.22,0.53,0.5,0.43,0.38,1.0,0.99,0.14,,0.4,17407
74.0,75.0,25.0,34.0,208.0,0.72,0.52,0.48,0.75,0.44,0.69,0.25,0.56,0.5,0.44,0.38,1.0,1.0,0.14,,0.4,17408
101.0,54.0,37.0,16.0,208.0,0.75,0.56,0.66,0.73,0.3,0.86,0.41,0.66,0.52,0.43,0.32,0.99,0.92,0.17,,0.4,17409
76.0,69.0,27.0,36.0,208.0,0.7,0.54,0.5,0.74,0.37,0.68,0.28,0.55,0.5,0.4,0.29,1.0,1.0,0.12,,0.4,17410
84.0,77.0,24.0,23.0,208.0,0.77,0.51,0.52,0.78,0.51,0.79,0.24,0.64,0.5,0.55,0.5,1.0,1.0,0.23,,0.4,17411
77.0,54.0,50.0,27.0,208.0,0.63,0.5,0.61,0.61,0.21,0.74,0.48,0.5,0.5,0.26,0.26,1.0,0.96,0.05,,0.4,17412
81.0,59.0,37.0,31.0,208.0,0.67,0.54,0.57,0.69,0.27,0.72,0.39,0.54,0.51,0.33,0.25,1.0,0.99,0.08,,0.4,17413
116.0,75.0,51.0,18.0,260.0,0.73,0.52,0.64,0.69,0.35,0.87,0.4,0.63,0.5,0.46,0.43,1.0,0.94,0.18,,0.5,17404
112.0,72.0,46.0,30.0,260.0,0.71,0.55,0.61,0.71,0.3,0.79,0.39,0.6,0.51,0.39,0.3,0.99,0.97,0.12,,0.5,17405
84.0,89.0,48.0,39.0,260.0,0.67,0.47,0.51,0.64,0.35,0.68,0.35,0.49,0.5,0.33,0.26,1.0,1.0,0.08,,0.5,17406
102.0,77.0,50.0,31.0,260.0,0.69,0.51,0.58,0.67,0.31,0.77,0.39,0.56,0.5,0.37,0.35,1.0,0.98,0.11,,0.5,17407
105.0,82.0,44.0,29.0,260.0,0.72,0.52,0.57,0.7,0.37,0.78,0.35,0.59,0.5,0.43,0.4,1.0,0.98,0.14,,0.5,17408
117.0,68.0,48.0,27.0,260.0,0.71,0.55,0.63,0.71,0.28,0.81,0.41,0.61,0.51,0.38,0.28,0.99,0.95,0.12,,0.5,17409
83.0,101.0,24.0,52.0,260.0,0.71,0.52,0.41,0.78,0.49,0.61,0.19,0.52,0.5,0.43,0.36,1.0,0.98,0.14,,0.5,17410
87.0,101.0,29.0,43.0,260.0,0.72,0.5,0.45,0.75,0.5,0.67,0.22,0.55,0.5,0.45,0.45,1.0,0.99,0.15,,0.5,17411
98.0,80.0,40.0,42.0,260.0,0.68,0.54,0.53,0.71,0.32,0.7,0.33,0.54,0.5,0.36,0.27,1.0,1.0,0.1,,0.5,17412
87.0,99.0,27.0,47.0,260.0,0.72,0.52,0.44,0.76,0.48,0.65,0.21,0.54,0.5,0.44,0.39,1.0,0.99,0.14,,0.5,17413
136.0,90.0,62.0,24.0,312.0,0.72,0.51,0.63,0.69,0.34,0.85,0.41,0.61,0.5,0.44,0.41,1.0,0.95,0.16,,0.6,17404
131.0,84.0,62.0,35.0,312.0,0.69,0.53,0.62,0.68,0.28,0.79,0.42,0.57,0.51,0.36,0.3,1.0,0.96,0.1,,0.6,17405
106.0,117.0,39.0,50.0,312.0,0.71,0.5,0.46,0.73,0.46,0.68,0.25,0.54,0.5,0.43,0.43,1.0,1.0,0.14,,0.6,17406
119.0,97.0,50.0,46.0,312.0,0.69,0.53,0.54,0.7,0.33,0.72,0.34,0.55,0.5,0.38,0.31,1.0,0.99,0.11,,0.6,17407
103.0,120.0,27.0,62.0,312.0,0.71,0.53,0.42,0.79,0.5,0.62,0.18,0.54,0.5,0.44,0.35,1.0,0.98,0.15,,0.6,17408
147.0,79.0,63.0,23.0,312.0,0.72,0.54,0.67,0.7,0.28,0.86,0.44,0.63,0.52,0.41,0.33,0.99,0.91,0.15,,0.6,17409
103.0,114.0,39.0,56.0,312.0,0.7,0.51,0.46,0.73,0.42,0.65,0.25,0.52,0.5,0.39,0.36,1.0,0.99,0.12,,0.6,17410
102.0,108.0,45.0,57.0,312.0,0.67,0.51,0.47,0.69,0.36,0.64,0.29,0.5,0.5,0.35,0.32,1.0,1.0,0.09,,0.6,17411
128.0,81.0,63.0,40.0,312.0,0.67,0.54,0.61,0.67,0.24,0.76,0.44,0.55,0.51,0.32,0.24,1.0,0.96,0.08,,0.6,17412
111.0,114.0,35.0,52.0,312.0,0.72,0.52,0.47,0.76,0.46,0.68,0.23,0.56,0.5,0.45,0.38,1.0,1.0,0.15,,0.6,17413
155.0,104.0,70.0,35.0,364.0,0.71,0.52,0.62,0.69,0.32,0.82,0.4,0.6,0.51,0.41,0.36,1.0,0.96,0.13,,0.7,17404
137.0,112.0,60.0,55.0,364.0,0.68,0.53,0.54,0.7,0.32,0.71,0.35,0.54,0.5,0.36,0.3,1.0,1.0,0.1,,0.7,17405
133.0,105.0,72.0,54.0,364.0,0.65,0.51,0.56,0.65,0.26,0.71,0.41,0.51,0.5,0.3,0.27,1.0,0.99,0.07,,0.7,17406
125.0,149.0,26.0,64.0,364.0,0.75,0.52,0.41,0.83,0.59,0.66,0.15,0.58,0.5,0.52,0.45,1.0,0.98,0.21,,0.7,17407
108.0,129.0,45.0,82.0,364.0,0.65,0.52,0.42,0.71,0.35,0.57,0.26,0.46,0.5,0.31,0.25,1.0,0.98,0.07,,0.7,17408
143.0,118.0,47.0,56.0,364.0,0.72,0.55,0.52,0.75,0.38,0.72,0.28,0.58,0.5,0.43,0.31,0.99,1.0,0.14,,0.7,17409
124.0,135.0,44.0,61.0,364.0,0.71,0.51,0.46,0.74,0.45,0.67,0.25,0.54,0.5,0.42,0.4,1.0,1.0,0.14,,0.7,17410
119.0,120.0,55.0,70.0,364.0,0.66,0.52,0.48,0.68,0.32,0.63,0.31,0.49,0.5,0.32,0.26,1.0,1.0,0.07,,0.7,17411
151.0,88.0,79.0,46.0,364.0,0.66,0.54,0.63,0.66,0.21,0.77,0.47,0.55,0.51,0.29,0.21,1.0,0.95,0.07,,0.7,17412
151.0,102.0,73.0,38.0,364.0,0.7,0.52,0.62,0.67,0.3,0.8,0.42,0.58,0.5,0.38,0.34,1.0,0.96,0.11,,0.7,17413
186.0,96.0,106.0,28.0,416.0,0.68,0.51,0.7,0.64,0.24,0.87,0.52,0.58,0.51,0.34,0.32,1.0,0.88,0.11,,0.8,17404
158.0,120.0,81.0,57.0,416.0,0.67,0.52,0.57,0.66,0.28,0.73,0.4,0.53,0.5,0.33,0.29,1.0,0.98,0.08,,0.8,17405
165.0,106.0,97.0,48.0,416.0,0.65,0.51,0.63,0.63,0.23,0.77,0.48,0.53,0.5,0.29,0.27,1.0,0.95,0.07,,0.8,17406
133.0,157.0,42.0,84.0,416.0,0.7,0.52,0.42,0.76,0.46,0.61,0.21,0.51,0.5,0.4,0.34,1.0,0.98,0.12,,0.8,17407
196.0,94.0,103.0,23.0,416.0,0.7,0.53,0.72,0.66,0.25,0.89,0.52,0.61,0.51,0.36,0.32,1.0,0.86,0.13,,0.8,17408
107.0,152.0,40.0,117.0,416.0,0.62,0.54,0.35,0.73,0.35,0.48,0.21,0.41,0.49,0.27,0.16,1.0,0.94,0.06,,0.8,17409
107.0,150.0,51.0,108.0,416.0,0.62,0.52,0.38,0.68,0.31,0.5,0.25,0.4,0.5,0.25,0.2,1.0,0.96,0.05,,0.8,17410
109.0,164.0,36.0,107.0,416.0,0.66,0.52,0.35,0.75,0.45,0.5,0.18,0.43,0.49,0.33,0.26,1.0,0.93,0.09,,0.8,17411
149.0,116.0,75.0,76.0,416.0,0.64,0.54,0.54,0.67,0.23,0.66,0.39,0.5,0.5,0.27,0.18,1.0,1.0,0.05,,0.8,17412
