true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,fold,seed
176.0,124.0,72.0,44.0,416.0,0.72,0.53,0.6,0.71,0.34,0.8,0.37,0.6,0.51,0.43,0.36,1.0,0.97,0.14,,0.8,17413
157.0,153.0,70.0,88.0,468.0,0.66,0.52,0.49,0.69,0.32,0.64,0.31,0.5,0.5,0.33,0.27,1.0,1.0,0.08,,0.9,17404
150.0,144.0,78.0,96.0,468.0,0.63,0.53,0.49,0.66,0.25,0.61,0.35,0.46,0.5,0.26,0.2,1.0,1.0,0.05,,0.9,17405
179.0,111.0,112.0,66.0,468.0,0.62,0.52,0.62,0.62,0.18,0.73,0.5,0.5,0.51,0.23,0.18,1.0,0.96,0.04,,0.9,17406
186.0,117.0,107.0,58.0,468.0,0.65,0.52,0.63,0.63,0.22,0.76,0.48,0.53,0.51,0.28,0.24,1.0,0.95,0.06,,0.9,17407
136.0,160.0,64.0,108.0,468.0,0.63,0.52,0.43,0.68,0.3,0.56,0.29,0.44,0.5,0.27,0.21,1.0,0.98,0.06,,0.9,17408
157.0,108.0,109.0,94.0,468.0,0.57,0.54,0.57,0.59,0.1,0.63,0.5,0.44,0.5,0.12,0.06,1.0,0.99,0.01,,0.9,17409
185.0,115.0,109.0,59.0,468.0,0.64,0.52,0.63,0.63,0.21,0.76,0.49,0.52,0.51,0.27,0.23,1.0,0.95,0.06,,0.9,17410
193.0,129.0,95.0,51.0,468.0,0.69,0.52,0.62,0.67,0.29,0.79,0.42,0.57,0.5,0.36,0.32,1.0,0.96,0.1,,0.9,17411
114.0,157.0,63.0,134.0,468.0,0.58,0.53,0.38,0.64,0.22,0.46,0.29,0.37,0.49,0.18,0.09,1.0,0.96,0.02,,0.9,17412
180.0,118.0,106.0,64.0,468.0,0.64,0.52,0.61,0.63,0.21,0.74,0.47,0.51,0.5,0.26,0.22,1.0,0.96,0.05,,0.9,17413
