,commits,ccp,hotspots_rate,refactor_mle,swearing_rate,positive_sentiment_rate,negative_sentiment_rate,avg_coupling_code_size_cut,authors,same_day_duration_avg,files_created,tests_presence,multiline_message_ratio,message_length_avg,commit_period,commit_days,commits_per_day,involved_developers,age,stars,minutes_to_revert,reverted_ratio,onboarding_prob,retention_prob,prev_touch_ago,bug_prev_touch_ago,one_file_fix_rate,one_file_refactor_rate,performance_rate,security_rate
commit_period,0.08246388754451062,0.14363158305847457,0.10944499569251263,0.05730679385733017,-0.03721322968954379,0.035994551904370696,0.025403510601424338,-0.15282485293867804,0.22418799355448168,-0.05075277998619674,-0.011734596470268742,0.0656603554799936,0.043177233239475046,0.011084254386449227,1.0,0.3807500376453125,-0.2508035183220237,0.1442655931596218,0.423804533781838,0.10827288919649028,0.15635739388492817,-0.1936671566618869,-0.35287089679679035,0.3495315869611655,0.4764552079640759,0.38794897135652406,0.015505190542227341,0.03926054669097897,0.035947218583099794,0.010693618446999339
commit_days,0.5522637484160621,0.16735202156192858,0.0733081730543492,0.07572569235695928,-0.023260683736600122,0.03831698003765063,0.02949881763823766,0.036930638659888194,0.5322659807066838,0.2064834830155604,0.040220931310827455,0.0524830587231883,0.06804594243073966,0.014510878750450392,0.3807500376453125,1.0,-0.22115831217276521,0.525239343215432,0.15660300468048485,0.1891145911270949,0.031932137656316605,-0.1832563631935157,-0.21320616232117898,0.1128037566465681,0.10890274505890651,0.08965794286338645,-0.02060325726004478,-0.02214759674968213,0.06274355906545324,0.035237856632447606
commits_per_day,0.02079609119938488,-0.1354763844508386,-0.0821583905449186,-0.10908044427962967,0.04660414582364173,-0.00995405398811654,-0.013329021705599384,-0.051526137841898405,-0.05861254977599097,-0.22976726755593224,0.0018219431581851717,-0.04712283718308702,-0.10326718150911361,-0.009331252950195552,-0.2508035183220237,-0.22115831217276521,1.0,0.030755833594838234,-0.09513455259661667,-0.031359248748227826,-0.05354104212649303,0.054842713805525876,0.17365258321276736,-0.1695101968457084,-0.14297842490054843,-0.11966268811239932,0.032939487294592625,0.02639332433434558,-0.05688832085639352,-0.028634154118455955
involved_developers,0.6399304730908132,0.08646714935170809,0.028804855986074143,-0.03136628216797886,0.002528066149605332,0.020527994096071565,0.011651334420991845,0.0037966644402693574,0.7017530209805607,0.010984084650230274,0.03055402206130241,0.031315531802764716,0.012627349827162975,0.009566932428895395,0.1442655931596218,0.525239343215432,0.030755833594838234,1.0,0.06526136233513438,0.1502772854764928,0.004996069386044814,-0.09312737938678142,-0.10676832803161668,-0.10311828971030443,0.01531052483258079,0.02166649811518506,-0.00991590479151046,-0.0010839231178793,-0.007635848193388939,0.033798204892598493
age,0.038294665952047634,0.15626092579888115,0.058732664082153156,0.1406093157114932,0.019338913414723363,0.09191851100858275,0.13434810281034446,0.022566130823948403,0.1098903054443125,0.020742838250222294,-0.009617349092770554,0.037778678016302664,0.0680750516118871,0.010378878512730089,0.423804533781838,0.15660300468048485,-0.09513455259661667,0.06526136233513438,1.0,0.005614019823356964,0.1210181385774854,-0.04138016962507036,-0.139403380757133,0.0512758710377442,0.17679850061387847,0.1475086260612729,0.08953720858248099,0.07884751432678558,0.052230535345523674,-0.0005016321553955824
stars,0.18910740375664276,0.04407624176266122,0.03908349927427864,-0.0034896519666474776,-0.008565451642315414,0.01601472804362137,0.00037189501759872246,-0.032579210844188244,0.3536419986403208,-0.008973010020655222,0.023771105138651334,0.016796564949004045,-0.0012916810613953934,0.0022467319747878677,0.10827288919649028,0.1891145911270949,-0.031359248748227826,0.1502772854764928,0.005614019823356964,1.0,0.011453585679259144,-0.05213367115314123,-0.14457401695963426,-0.04529249847165655,0.02011787108446046,0.02814651161436776,0.012013276214486179,0.017985521257796185,0.01579696741152661,0.0016106990367817438
minutes_to_revert,0.002002985435137483,0.06246052423061682,0.05003710521753231,0.06371890211386953,-0.006576301484754895,0.052526651915302515,0.05430958964022005,-0.021327956174515626,0.034945400516443494,-0.0094102010804712,0.06700645270739097,0.005320001875170199,0.03136025989069278,0.09574622366149654,0.15635739388492817,0.031932137656316605,-0.05354104212649303,0.004996069386044814,0.1210181385774854,0.011453585679259144,1.0,0.027057291271141266,-0.07736633770367424,0.02740234416272211,0.10364653643269553,0.1517709779616437,0.040982736526190326,0.033441940677295626,0.07528197730829482,0.010689522850365549
reverted_ratio,-0.04792720066592905,0.10234987662920268,0.10848217553031766,-0.09064737548295243,0.036694638303216225,0.010543629259000013,0.02745380715387574,-0.002277123692963192,-0.06423875064508389,-0.043382917710264396,0.04804662567682362,-0.06187192250790373,-0.03121669704637206,0.04119575293944804,-0.1936671566618869,-0.1832563631935157,0.054842713805525876,-0.09312737938678142,-0.04138016962507036,-0.05213367115314123,0.027057291271141266,1.0,0.09177256790582441,-0.0697656080703971,-0.03723834060501035,-0.04717865742197405,-0.027421925124068457,0.005454219444554738,0.0859467493545715,-0.025262850402012493
onboarding_prob,-0.04155103964572608,-0.18272243234837818,-0.13416471351315884,0.024191608025050014,0.022928367153569797,-0.04900208595203641,-0.023770488732474008,0.11002707355365747,-0.3548247728038846,0.041818052615600246,0.005176558443127692,-0.059508207680285655,-0.035970792574710496,-0.012964092999857514,-0.35287089679679035,-0.21320616232117898,0.17365258321276736,-0.10676832803161668,-0.139403380757133,-0.14457401695963426,-0.07736633770367424,0.09177256790582441,1.0,0.28821358976018085,-0.13080255806392407,-0.14896570974163537,-0.02779787322656929,-0.04701782990084087,-0.0067093113274036015,-0.04210249801768847
retention_prob,0.006881435385125738,-0.006495049821845126,0.0036441180629781925,0.063317572382441,-0.024988104138745658,-0.02114360187869764,-0.011396131604416158,-0.06453581639725521,-0.13095222984277957,0.014539513976945286,-0.008140774897382942,-0.0014925987297075291,-0.004159525045380444,-8.52791515650892e-05,0.3495315869611655,0.1128037566465681,-0.1695101968457084,-0.10311828971030443,0.0512758710377442,-0.04529249847165655,0.02740234416272211,-0.0697656080703971,0.28821358976018085,1.0,0.23750050424574842,0.15480075338664,-0.020590779201571145,-0.019867356747783168,0.030081041408204588,-0.02616641013682889
prev_touch_ago,0.0016169768374843807,0.016108830586599582,0.06719337219482074,-0.023925680848731132,-0.02513036627253843,0.004091018279208375,-0.011047746017668615,-0.1612363685559412,0.05247509678128228,-0.059155812347975165,0.018791802914712587,0.012223306075791087,-0.01385590094116823,0.0081121236215916,0.4764552079640759,0.10890274505890651,-0.14297842490054843,0.01531052483258079,0.17679850061387847,0.02011787108446046,0.10364653643269553,-0.03723834060501035,-0.13080255806392407,0.23750050424574842,1.0,0.4970106636105111,-0.11001525532014947,-0.08006559214550771,-0.0015636800213399864,-0.0001446204072808123
bug_prev_touch_ago,0.0012329291336143724,0.030668283552926955,0.05378592334724735,-0.006457539463773753,-0.023202611945546597,0.006981824579399841,-0.0063683343455355895,-0.10983304721827261,0.06610467667004641,-0.05242905450387269,-0.00220840940802468,0.033813623900244484,-0.01434785368617099,0.011109421075463793,0.38794897135652406,0.08965794286338645,-0.11966268811239932,0.02166649811518506,0.1475086260612729,0.02814651161436776,0.1517709779616437,-0.04717865742197405,-0.14896570974163537,0.15480075338664,0.4970106636105111,1.0,-0.05602635044563056,-0.029560970079501106,0.004964791946110471,0.010690798104567354
one_file_fix_rate,0.0029755419414146775,0.09405832348991171,0.036755089129366196,0.06502671019891636,0.002873171785335099,-0.0015950214649740637,0.03978998607506229,0.15530591127723517,0.007455279210614873,-0.06595520280008844,-0.022917525902102102,-0.004876407523727621,0.021723618178066558,-0.00038885738825710414,0.015505190542227341,-0.02060325726004478,0.032939487294592625,-0.00991590479151046,0.08953720858248099,0.012013276214486179,0.040982736526190326,-0.027421925124068457,-0.02779787322656929,-0.020590779201571145,-0.11001525532014947,-0.05602635044563056,1.0,0.5365890524388812,0.03129148422628388,0.019914258410533927
one_file_refactor_rate,0.001208261148522028,0.07357885438588783,0.024482379587270536,0.045588685996090776,0.001607511474762548,0.014686175460515177,0.04066266475329081,-0.007341083842703565,0.021828644677334967,-0.08402407778054713,-0.027109579262003757,0.01226354366925038,0.06592863650721036,-0.00014140336188304522,0.03926054669097897,-0.02214759674968213,0.02639332433434558,-0.0010839231178793,0.07884751432678558,0.017985521257796185,0.033441940677295626,0.005454219444554738,-0.04701782990084087,-0.019867356747783168,-0.08006559214550771,-0.029560970079501106,0.5365890524388812,1.0,0.034230545483836264,0.004285385581567268
performance_rate,0.008401496926773982,0.14488945088619476,0.06716198757546243,0.23163005169383374,0.02091070428008115,0.09004879035437195,0.120639556947936,0.07016811356526077,0.01804406970865883,0.09777002827490598,0.016481002780878107,0.01040569789358073,0.04856263265431322,0.021851252930223154,0.035947218583099794,0.06274355906545324,-0.05688832085639352,-0.007635848193388939,0.052230535345523674,0.01579696741152661,0.07528197730829482,0.0859467493545715,-0.0067093113274036015,0.030081041408204588,-0.0015636800213399864,0.004964791946110471,0.03129148422628388,0.034230545483836264,1.0,-0.016375074981437407
security_rate,0.005360809080891582,0.09401922641685025,0.033645648962987135,0.035686198372342735,0.00023993348938751045,0.03146714215341439,0.03629376713975376,0.08367735348557395,0.0355963162078605,0.041447441644483114,0.0012257163807681565,-0.010312872821478532,0.04418546747296734,0.013168667032544672,0.010693618446999339,0.035237856632447606,-0.028634154118455955,0.033798204892598493,-0.0005016321553955824,0.0016106990367817438,0.010689522850365549,-0.025262850402012493,-0.04210249801768847,-0.02616641013682889,-0.0001446204072808123,0.010690798104567354,0.019914258410533927,0.004285385581567268,-0.016375074981437407,1.0
