Type,Pearson
Motivation,1.0
Importance,0.347816644579538
Joy,0.3461542275178502
Community,0.3438858336679878
Challenge,0.2987300944773671
Learning,0.2341181057662317
Ownership,0.20832423989687618
Recognition,0.19412728706226864
Self-use,0.1639132734000831
Payment,0.1530147960381547
Ideology,0.140422946192615
Hostility,0.011820755946093098
