f,developers,prob,agg
1,18,0.00042397833,0.00042397833
1.01,12,0.00028265222,0.00070663055
1.02,7,0.0001648804617,0.0008715110117
1.03,6,0.00014132611,0.001012837122
1.04,10,0.0002355435167,0.001248380638
1.05,6,0.00014132611,0.001389706748
1.06,10,0.0002355435167,0.001625250265
1.07,2,0.00004710870333,0.001672358968
1.08,1,0.00002355435167,0.00169591332
1.09,5,0.0001177717583,0.001813685078
1.1,6,0.00014132611,0.001955011188
1.11,4,0.00009421740667,0.002049228595
1.12,14,0.0003297609233,0.002378989518
1.13,14,0.0003297609233,0.002708750442
1.14,13,0.0003062065717,0.003014957013
1.15,19,0.0004475326817,0.003462489695
1.16,12,0.00028265222,0.003745141915
1.17,20,0.0004710870333,0.004216228948
1.18,29,0.0006830761983,0.004899305147
1.19,22,0.0005181957367,0.005417500883
1.2,22,0.0005181957367,0.00593569662
1.21,37,0.0008715110117,0.006807207632
1.22,24,0.00056530444,0.007372512072
1.23,45,0.001059945825,0.008432457897
1.24,32,0.0007537392533,0.00918619715
1.25,45,0.001059945825,0.01024614297
1.26,42,0.00098928277,0.01123542574
1.27,51,0.001201271935,0.01243669768
1.28,69,0.001625250265,0.01406194794
1.29,55,0.001295489342,0.01535743729
1.3,62,0.001460369803,0.01681780709
1.31,69,0.001625250265,0.01844305735
1.32,65,0.001531032858,0.01997409021
1.33,91,0.002143446002,0.02211753621
1.34,95,0.002237663408,0.02435519962
1.35,80,0.001884348133,0.02623954776
1.36,102,0.00240254387,0.02864209163
1.37,92,0.002167000353,0.03080909198
1.38,74,0.001743022023,0.032552114
1.39,78,0.00183723943,0.03438935343
1.4,77,0.001813685078,0.03620303851
1.41,92,0.002167000353,0.03837003886
1.42,90,0.00211989165,0.04048993051
1.43,111,0.002614533035,0.04310446355
1.44,95,0.002237663408,0.04534212696
1.45,115,0.002708750442,0.0480508774
1.46,118,0.002779413497,0.0508302909
1.47,116,0.002732304793,0.05356259569
1.48,117,0.002755859145,0.05631845483
1.49,121,0.002850076552,0.05916853139
1.5,124,0.002920739607,0.06208927099
1.51,119,0.002802967848,0.06489223884
1.52,127,0.002991402662,0.0678836415
1.53,142,0.003344717937,0.07122835944
1.54,132,0.00310917442,0.07433753386
1.55,125,0.002944293958,0.07728182782
1.56,140,0.003297609233,0.08057943705
1.57,149,0.003509598398,0.08408903545
1.58,131,0.003085620068,0.08717465552
1.59,130,0.003062065717,0.09023672123
1.6,135,0.003179837475,0.09341655871
1.61,130,0.003062065717,0.09647862443
1.62,133,0.003132728772,0.0996113532
1.63,145,0.003415380992,0.1030267342
1.64,153,0.003603815805,0.10663055
1.65,155,0.003650924508,0.1102814745
1.66,144,0.00339182664,0.1136733011
1.67,124,0.002920739607,0.1165940407
1.68,139,0.003274054882,0.1198680956
1.69,157,0.003698033212,0.1235661288
1.7,142,0.003344717937,0.1269108468
1.71,159,0.003745141915,0.1306559887
1.72,139,0.003274054882,0.1339300436
1.73,158,0.003721587563,0.1376516311
1.74,140,0.003297609233,0.1409492404
1.75,143,0.003368272288,0.1443175127
1.76,144,0.00339182664,0.1477093393
1.77,155,0.003650924508,0.1513602638
1.78,154,0.003627370157,0.154987634
1.79,159,0.003745141915,0.1587327759
1.8,144,0.00339182664,0.1621246025
1.81,158,0.003721587563,0.1658461901
1.82,164,0.003862913673,0.1697091038
1.83,156,0.00367447886,0.1733835826
1.84,167,0.003933576728,0.1773171593
1.85,165,0.003886468025,0.1812036274
1.86,150,0.00353315275,0.1847367801
1.87,155,0.003650924508,0.1883877046
1.88,170,0.004004239783,0.1923919444
1.89,131,0.003085620068,0.1954775645
