public_developers,repositories,repos wit at least such developers
1,2644,5112
2,1120,2468
3,549,1348
4,279,799
5,157,520
6,88,363
7,60,275
8,36,215
9,29,179
10,25,150
11,23,125
12,23,102
13,13,79
14,10,66
15,4,56
16,2,52
17,6,50
18,3,44
19,4,41
20,6,37
21,4,31
22,1,27
23,2,26
24,4,24
25,4,20
26,2,16
27,1,14
28,2,13
31,2,11
34,1,9
35,1,8
36,1,7
40,1,6
51,1,5
83,1,4
88,1,3
92,1,2
93,1,1
